ID,Code,Address/Intersection/Area,Latitude,Longitude
343791,PFI10,Sorrel Pond,44.0637301200427,-123.072239243624
343795,PFI10,AC,44.0465051698916,-123.144591770224
343828,PFI10,Trainsong,44.0683279313819,-123.138568580755
343829,PFI10,Trainsong,44.0683905615159,-123.138594046920
343830,PFI10,Trainsong,44.0694428736123,-123.138736581890
343918,PFI10,West Bank,44.0814207985114,-123.116694247885
343925,PFI10,Skinners Butte,44.0576884111316,-123.096950281799
343928,PFI10,WJ,44.0582932966388,-123.100486214785
343929,PFI10,WJ,44.0569055572398,-123.100552297219
343932,PFI10,WJ,44.0567329990962,-123.100759117462
343936,PFI10,I-105 off ramp,44.0536907647491,-123.102042747691
343937,PFI10,I-105 off ramp,44.0529406149413,-123.101790687258
343938,PFI10,WJ,44.0529353405338,-123.101604186522
343940,PFI10,I-105 on ramp,44.0530431600580,-123.100609795657
343942,PFI10,WJ,44.0530928471848,-123.100542145468
343944,PFI10,I-105 on ramp,44.0536922594672,-123.100143598485
343946,PFI10,I-105 on ramp,44.0537099440265,-123.099924874304
343952,PFI10,I-105 on ramp,44.0536940015771,-123.099937172180
343953,PFI10,I-105 on ramp,44.0536294281594,-123.099612155036
343970,PFI10,West Bank,44.0674178632295,-123.112883478434
343975,PFI10,Garfield,44.0421581271385,-123.120662117810
343976,PFI10,Oak Patch East,44.0462741060268,-123.131050043920
344115,PFI10,Skinners Butte,44.0618127985049,-123.099858402938
344118,PFI10,SB,44.0618385493112,-123.099673460848
344134,PFI10,Westmoreland,44.0397355547854,-123.115800914011
344140,PFI10,Westmoreland,44.0418146226195,-123.115221027998
344163,PFI10,WJ,44.0562330137928,-123.101152597912
344166,PFI10,WJ,44.0547046174335,-123.100877625643
344168,PFI10,I-105 off ramp,44.0533840893098,-123.102484481623
344169,PFI10,I-105 off ramp,44.0533979990706,-123.102514670419
344170,PFI10,5th Aly/Jefferson,44.0537472293144,-123.101945925424
344171,PFI10,5th Aly/Jefferson,44.0536828749786,-123.102049274412
344178,PFI10,SB,44.0574508531087,-123.084548756347
344232,PFI10,Knickerbocker,44.0444863490253,-123.052003673327
344249,PFI10,WB,44.0692077077230,-123.117424003001
344254,PFI10,AB,44.0517544435713,-123.065847791359
344255,PFI10,AB,44.0516285793703,-123.065615102300
344256,PFI10,AB,44.0515801663270,-123.065361235486
344258,PFI10,AB,44.0513798292976,-123.064774450004
344259,PFI10,AC,44.0464692975271,-123.141524833299
344413,PFI10,AB,44.0552334050133,-123.083106306234
344415,PFI10,Amazon Channel,44.0108316934817,-123.076587103421
344416,PFI10,AB,44.0546686667597,-123.082863906076
344430,PFI10,SB,44.0576791016751,-123.084472001285
344435,PFI10,I-105 off ramp,44.0536906551356,-123.102111909723
344436,PFI10,I-105 off ramp,44.0536431766728,-123.102064917694
344437,PFI10,I-105 off ramp,44.0536420967615,-123.102153264701
344438,PFI10,I-105 off ramp,44.0536578247641,-123.102178662771
344485,PFI10,AC,44.0506656497182,-123.168094232582
344493,PFI10,Grant,44.0426598420529,-123.121172341429
344494,PFI10,AC,44.0422759050169,-123.122168898257
344604,PFI10,SB,44.0599007454518,-123.096883625019
344622,PFI10,Awbrey,44.1256527820584,-123.140568133741
344649,PFI10,AB,44.0522652671625,-123.070896766864
344655,PFI10,AB,44.0519036669079,-123.069278241480
344660,PFI10,SB,44.0607556647096,-123.092315165335
344779,PFI10,SK,44.0447157955326,-123.052956452136
344780,PFI10,SK,44.0446880751639,-123.053037792135
344781,PFI10,SK,44.0447407052402,-123.053133888574
344790,PFI10,MJ,44.0638577876048,-123.105558042363
344796,PFI10,AB,44.0508711139537,-123.065613504161
344798,PFI10,Scobert,44.0550556588314,-123.110342226153
344819,PFI10,WJ,44.0547237318375,-123.101129650908
344822,PFI10,Oak Patch East,44.0462688746674,-123.131570755626
344825,PFI10,WJ,44.0535856924294,-123.099659337809
344828,PFI10,WJ,44.0536230561886,-123.099675553929
344829,PFI10,WJ,44.0536410391600,-123.099700798715
344830,PFI10,WJ,44.0536743948182,-123.099779391949
344831,PFI10,WJ,44.0572838955609,-123.100504541834
344832,PFI10,Tugman,44.0136671551389,-123.085568534355
344833,PFI10,WJ,44.0574077026793,-123.100532598575
344834,PFI10,East of Richardson Bridge,44.0464728381045,-123.141349467835
344835,PFI10,East of Richardson Bridge,44.0464353839447,-123.141978379169
344851,PFI10,A2 Channel,44.0874271777834,-123.170833834637
344928,PFI10,Amazon,44.0328794431099,-123.087562261395
344953,PFI10,Bertelsen,44.0546126553974,-123.157854040086
344954,PFI10,Bertelsen,44.0547749601553,-123.158201913152
344956,PFI10,Bertelsen,44.0548501577313,-123.158327206989
344957,PFI10,Bertelsen,44.0550550600973,-123.158934160296
344960,PFI10,Bertelsen,44.0550321100836,-123.160631430265
344961,PFI10,Bertelsen,44.0551281661278,-123.161728148690
344971,PFI10,Bertelsen,44.0557667321079,-123.158687446382
344977,PFI10,MJ,44.0679414366625,-123.114016072704
344978,PFI10,MJ,44.0680206935434,-123.114347064941
344979,PFI10,MJ,44.0680239714886,-123.114365439380
344980,PFI10,MJ,44.0680299397737,-123.114396293459
345011,PFI10,Amazon,44.0217083390180,-123.081927500459
345017,PFI10,WJ,44.0557888581747,-123.101489546428
345018,PFI10,WB,44.0847800295512,-123.118926109686
345020,PFI10,AC,44.0499715805409,-123.166413985061
345114,PFI10,Scobert,44.0550208405759,-123.110437107243
345125,PFI10,AB,44.0583399862457,-123.083513535314
345127,PFI10,Lone Oak,44.0987453279889,-123.122338808842
345128,PFI10,Lone Oak,44.0986658418100,-123.121779479403
345151,PFI10,Lone Oak,44.0986560027429,-123.121613001697
345157,PFI10,Garfield,44.0425828003949,-123.120512903327
345348,PFI10,AC,44.0497763690965,-123.166437449731
345353,PFI10,Bailey Hill ,44.0467885204404,-123.149744616843
345354,PFI10,Bailey Hill ,44.0468077163008,-123.149688658002
345357,PFI10,Oak Path West,44.0468752947934,-123.137410850107
